id,text,speaker,turn,emotion_major,emotion_minor,situation,gender,age,environment,cluster_l1,cluster_l2,text_length,session_id,length_quartile
36774_2_human,남은 시간 동안 더 성실히 공부할 거야.,human,2,분노,안달하는,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,22,36774,short
29927_1_human,중년에 회사에서 밀려날까봐 걱정이야.,human,1,분노,안달하는,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",20,29927,short
31093_3_human,친구와 사이좋게 지내는 방법에 대해 교육해야겠어.,human,3,분노,노여워하는,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,27,31093,short
2398_3_human,시간을 내서 운동해야겠어.,human,3,분노,노여워하는,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,14,2398,short
38227_1_human,손주를 보다 손을 데인 친구의 전화를 받았어.,human,1,분노,구역질 나는,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,25,38227,short
26755_3_human,공부를 잘 하는 선배에게 도움을 청해야겠어.,human,3,분노,짜증내는,학업 및 진로,여성,청소년,,emotion_분노,emotion_분노_situation_학업 및 진로,24,26755,short
42142_2_human,이게 다 내가 못 배운 탓이지.,human,2,분노,툴툴대는,대인관계,여성,노년,,emotion_분노,emotion_분노_situation_대인관계,17,42142,short
27141_2_human,왜 그랬는지 후회돼.,human,2,분노,노여워하는,건강,남성,중년,,emotion_분노,emotion_분노_situation_건강,11,27141,short
44844_3_human,일단 병원부터 가서 상담을 해봐야겠어.,human,3,분노,방어적인,"대인관계(부부, 자녀)",남성,중년,,emotion_분노,"emotion_분노_situation_대인관계(부부, 자녀)",21,44844,short
29927_2_human,자기 계발을 해야겠어.,human,2,분노,안달하는,"직장, 업무 스트레스",여성,중년,,emotion_분노,"emotion_분노_situation_직장, 업무 스트레스",12,29927,short
